Id,Date Added,Council Member,Recipient Self,Recipient Dependent,Recipient Staff,Source,Date Gifted,Nature / Value,Reason,Intent
304,September 30 2018,Brian Bowman,yes,no,no,John Arbuthnot - Delta 9,August 30 2018,T shirt - $20,Courtesy Gift,Retain
303,September 30 2018,Brian Bowman,yes,yes,no,Assiniboine Park Conservancy,August 29 2018,Garden Party - $500,Event attendance - protocol,Retain
302,September 30 2018,Brian Bowman,yes,no,yes,Fromagerie Bothwell,August 29 2018,Cheese - $50,BIZ tour stop - protocol gift,Retain
301,September 30 2018,Brian Bowman,yes,no,no,Cheryl Zealand - Cranked Energy,July 31 2018,"Hat, water bottle, energy bars - $75",BIZ tour stop - protocol gift,Retain
299,September 30 2018,Brian Bowman,yes,no,yes,Sue Boreskie - Reh Fit Centre,July 30 2018,Day passes x 10 - $100,Day passes provided during facility tour and capital campoiagn meeting,Retain
298,September 30 2018,Brian Bowman,yes,no,yes,Sean Seywright - World Masters Ultimate Club Championship,July 29 2018,Buffet - $30,Food provded during opening cermonies - bring greetings,Retain
297,September 30 2018,Brian Bowman,yes,yes,no,Raj Phangureh - Kinsmen Club of Winnipeg,July 28 2018,Lunch x 3 - $30,Speaking at Kinsmen golf tournament,Retain
296,September 30 2018,Brian Bowman,yes,no,no,Roy Cuddeford - Quest Metals,July 26 2018,Fabricated metal art piece - $200,BIZ tour stop - protocol gift,Retain
295,September 30 2018,Brian Bowman,yes,no,no,Helen Staines - Decadance Chocolate,July 20 2018,Chocolate bar x 2 - $25,BIZ tour stop - protocol gift,Retain
294,September 30 2018,Brian Bowman,yes,no,yes,Stephanie Meilleur - Osborne Village BIZ,July 20 2018,Coffee and smoothie - $15,BIZ tour stop - meeting,Retain
293,September 30 2018,Brian Bowman,yes,no,yes,Kelly Lyons - Vita Health,July 20 2018,Shakers - $20,BIZ tour stop - protocol gift,Retain
292,September 30 2018,Brian Bowman,yes,no,no,Justin Paquin - Paqiun Entertainment,July 20 2018,DVDs and recrods - $150,BIZ tour stop - protocol gift,Retain
291,September 30 2018,Brian Bowman,yes,no,yes,Teresa Cotroneo - Folklorama,July 19 2018,Folklorama Ambassadors Inaugural Event - $100,Protocol - bring greetings,Retain
290,September 30 2018,Brian Bowman,yes,no,no,Catherine Hsu - Director General of the Taipei Economic and Cultural Office,July 16 2018,Tea - $75,Protocol - Gift presented at 73rd Annual Midwestern Legislative Conference,Retain
289,September 30 2018,Brian Bowman,yes,no,no,Queena Amina - Vigor Awards,July 10 2018,Dashiki - $50,Protocol gift - meeting re: Vigor Awards,Retain
288,September 30 2018,Brian Bowman,yes,yes,no,Larry McIntosh - Peak of the Market,July 09 2018,Dinner - $300,"""Lunch with the Mayor"" prize, McIntosh's asked for dinner instead and indicated they were happy to pay the difference personally",Retain
287,September 30 2018,Brian Bowman,yes,no,yes,Sachit Mehra - East India Company,July 05 2018,2 plates of food - $30,Provided during Folk Fest reception,Retain
286,September 30 2018,Brian Bowman,yes,yes,yes,Lynne Skromeda - Folk Festival,July 05 2018,"Passes x 4, parking x 2, VIP Reception passes x2 - $700","Protocol - bring greetings, volunteer for food service",Retain
285,September 30 2018,Brian Bowman,yes,no,no,Tom Ethans - Take Pride Winnipeg,July 05 2018,Garbage pickers,Protocol - speaking gift,Retain
284,September 30 2018,Brian Bowman,yes,no,no,Malinda Lee - Winnipeg Chinese Cultural and Community Centre,July 01 2018,"Literature, hat, noisemakers - $120",Protocol - speaking and information,Retain
300,September 30 2018,Brian Bowman,yes,no,yes,Rana - Yafa Caf�,July 31 2018,"Coffee x 3, dainties - $50",BIZ tour stop - meeting,Retain
274,December 10 2018,Vivian Santos,yes,no,no,Winnipeg Public Library Board,December 04 2018,Dinner,attended as City Councillor and Board Member to the Winnipeg Public Library Board's AGM & Dinner,retained
50,April 26 2018,Jenny Gerbasi,yes,no,no,Winnipeg Opera,April 17 2018,200.00,Offer given to Councillor Gerbasi,attend the performance
280,December 13 2018,Kevin Klein,yes,no,no,Charleswood 55+ Christmas Luncheon,December 07 2018,approximately $50,lunch as part of the Charleswood 55+ Seniors Centre's Christmas Luncheon,retained
152,June 18 2018,Jenny Gerbasi,yes,no,no,Cavalia Odysseo,May 15 2018,Two tickets to Odysseo,Complimentary passes given to members of Council,Retained
21,April 04 2018,Shawn Dobson,yes,no,no,Curling Club Banquet,February 21 2018,Dinner - unknown,"Dinner at event, no ticket cost",Retained
10,March 27 2018,John Orlikow,yes,no,no,Cancer Care Society,March 19 2018,"10 Daffodils, one pin",Daffodil month,Retained
63,April 30 2018,Matt Allard,yes,no,no,Canadian Broadcasting Corporation,March 06 2018,Transportation,Got a ride from CBC reps after a community consultation with them in Sage Creek,Retained
197,July 05 2018,Matt Allard,yes,no,no,Cavalia,May 15 2018,Cavalia Tickets,Councillors were offered Cavalia tickets,Retained
203,July 05 2018,Matt Allard,yes,no,no,Habitat for Humanity,April 13 2018,pizza lunch for Matt Allard and Ryan Palmquist,We were at an event celebrating a student who chose Habitat for Humanity as a charity,Retained
186,June 28 2018,Brian Bowman,yes,no,no,Jessica Kraut - Rady JCC,June 18 2018,Ken Kronson Sports Dinner - $200,Protocol invite,Retain
105,June 18 2018,Brian Bowman,yes,no,yes,Dayna Spiring - Economic Development Winnipeg,April 06 2018,Lunch - $50,Ubisoft announcement,Retain
136,June 18 2018,Brian Bowman,yes,no,no,Jennier Papararo - Plug In ICA,May 09 2018,"Tote, print, 2 books - $85",Meeting re: materials presented,Retain
223,July 18 2018,John Orlikow,yes,no,no,Winnipeg Fringe Festival,July 18 2018,"two - VIP 6 Pass,  Estimated $120.00",Complimentary passes in the hopes that elected officials will participate in the festival.,retained
196,July 05 2018,Matt Allard,yes,no,no,Liberal leader Dougald Lamont,April 03 2018,Breakfast,Meeting to talk about St. Boniface Issues,Retained
154,June 18 2018,Jenny Gerbasi,yes,no,no,St. Norbert Farmers' Market,May 19 2018,Fruit pie $20.00,Gift given to dignitaries who attended the ribbon cutting ceremony for the new canopy,Retained
180,June 28 2018,Brian Bowman,yes,no,yes,Tatiana Rafter - NWHL Champion,June 11 2018,"Coffe mug, signed photos - $40",Courtesy meeting with Isobel Cup,Retain
89,May 24 2018,Shawn Dobson,yes,no,no,University of Manitoba,May 12 2018,lunch,Behind the Science VIP tour,retained
113,June 18 2018,Brian Bowman,yes,no,yes,Rob Albo - Volunteer MB,April 19 2018,Volunteer Awards dinner - $300,"Bring greetings, present awards",Retain
256,October 31 2018,Brian Bowman,yes,no,yes,Winnipeg Art Gallery,October 13 2018,Gallery Ball - $300,Event attendance - protocol and speaking,Retain
160,June 21 2018,John Orlikow,yes,no,no,South West Seniors AGM,June 20 2018,"A sandwich, and a drink","AGM Meeting, hospitality",Retained
227,August 01 2018,Jeff Browaty,yes,no,no,Fringe Festival,July 17 2018,Tickets estimated value $120.00 (12 tickets at ~$10.00 each),VIP Ticket Offer,Retained
210,July 05 2018,Matt Allard,no,no,yes,Fromagerie Bothwell Provencher,April 30 2018,Hospitality,Ryan and his fiance attended the fromagerie bothwell Provencher soft opening,Retained
156,June 21 2018,Shawn Dobson,yes,no,no,"Red River Exhibition Association, RRE Foundation, and Mb Agricultural Hall of Fame",June 18 2018,Dinner,Celebration of Agriculture,retained
224,July 18 2018,John Orlikow,yes,no,no,Folklorama,July 18 2018,"Tickets to pavilions, $233.20",complimentary passes in the hopes that elected officials will attend the pavilions.,retained
182,June 28 2018,Brian Bowman,yes,no,yes,Connie Walker - United Way,June 14 2018,United Way Community Luncheon - $150,"Protocol, speaking",Retain
159,June 21 2018,John Orlikow,yes,no,no,Red River Exhibition,June 18 2018,"4 complimentary admission Tickets, 1 complimentary parking, estimated $60.00",Promotion,Donated to Community Centre
202,July 05 2018,Matt Allard,yes,no,no,Lanny Remi's Speakers Forum,May 03 2018,Gift certificate and meal,I spoke at this event about accountability on behalf of the city of Winnipeg,Retained
144,June 18 2018,Brian Bowman,yes,no,yes,Anthony Pagliai - US Embassy,May 23 2018,NOARD at 60 reception - $50,Protocol invite,Retain
57,April 30 2018,Brian Bowman,yes,no,no,"V. Hutter, City of Winnipeg",March 01 2018,Tickets - Retirement Party - $100,Richard Kachur retirement,Retained
228,August 01 2018,Jeff Browaty,yes,no,no,Rainbow Stage - Breaking Up is Hard to Do,June 22 2018,Tickets estimated value $130.00 (2 tickets at ~$65.00 each),VIP Ticket Offer,Retained
120,June 18 2018,Brian Bowman,yes,no,no,Scott Shupeniuk - Labatt,April 27 2018,Budweiser Red Light - $150,Courtesy Gift,Retain
281,December 17 2018,Vivian Santos,yes,no,no,Downtown BIZ,November 07 2018,Coffee Mug & Tote Bag,Congratulations for being elected to City Council,retained
40,April 05 2018,Brian Bowman,yes,no,no,Curl Manitoba,March 01 2018,Mitts - $50,Thank You Gift - Curling Game at Old Market Square,Retained
179,June 28 2018,Brian Bowman,yes,yes,no,Adell Gauthier - Children's Rehabilitation Foundation,June 10 2018,"Shirts and Registrations, RBC Cruisin' Down the Crescent - $200",Protocol - speaking and participation in event with the Youth Ambassador,Retain
279,December 11 2018,John Orlikow,yes,no,no,Norton Kothari,September 24 2018,60.00,For the City Councillor to attend the community event,retained
29,April 04 2018,Matt Allard,yes,no,no,Festival du Voyageur VIP Night,February 22 2018,Food and refreshments,I was invited to attend the Festival du Voyageur VIP night,Retained
135,June 18 2018,Brian Bowman,yes,no,no,Lisa Bagan - Heart and Stroke Foundation,May 08 2018,CPR Instruction Kit - $25,CPR Relay Invite Request accompaniment,Retain
213,July 05 2018,Matt Allard,yes,no,no,Plurielles,May 23 2018,Delegate bag,I attended as city Councillor for St. Boniface and accepted a delegate bag that had various information and promotional items of nominal value,Retained
122,June 18 2018,Brian Bowman,yes,no,no,Jody Zarn - Laps 4 Life,April 28 2018,Spa and Style Gift Basket - $50,Protocol gift - Speaking,Retain
244,October 31 2018,Brian Bowman,yes,no,no,M C Delandes Monuments and Memorials,August 09 2018,Custom plaque - $100,Machine shop demonstration - protocol gift,Retain
75,May 08 2018,Matt Allard,yes,no,no,,April 20 2018,Food and Refreshment,Food & Beverage consumed RBC Convention Centre ambassador plaque presentation by Councillor Allard & Executive Assistant,N/A
282,December 17 2018,Vivian Santos,yes,no,no,Casa Dos Acores,December 15 2018,"Dinner, box of chocolate & wine",Attended annual Christmas holiday dinner. Provided greetings as City Councillor for the Point Douglas Ward,retained
324,December 20 2018,Kevin Klein,yes,no,no,Mayor Bowman,December 14 2018,"bag of 6 cookies, 2 brownies, popcorn, large cookie. estimated $30",christmas/holiday goodies from Mayor,retained
192,June 29 2018,Jason Schreyer,yes,yes,no,Manitoba Museum,June 07 2018,Admission to Nonsuch opening. Value unknown,Celebration,Attended with spouse and son
87,May 24 2018,Shawn Dobson,yes,no,no,Engineers Geoscientists Manitoba,April 30 2018,light snack,"""Engineering Changes Lives Initial Insights"" program that attended",retained
137,June 18 2018,Brian Bowman,yes,yes,no,Glenn Michalchuk - Association of United Ukrainian Canadians,May 12 2018,100th Anniversary Cultural Dinner - $100,Bring greetings,Retain
173,June 28 2018,Jason Schreyer,yes,yes,no,Cavalia,May 15 2018,2 tickets at $250 each,promotion of performance event,attended with spouse
68,May 01 2018,Mike Pagtakhan,yes,no,no,Casa Dos Acores Azorean Culture Centre,March 31 2018,Dinner,guest speaker at the Traditional Easter Dinner and provided welcoming remarks,retained
198,July 05 2018,Matt Allard,no,no,yes,Norwood BIZ,April 24 2018,Hospitality,Regular meeting of the Biz improvement Zone of which Councillor Matt Allard is a member of the board of directors,Retained
28,April 04 2018,Matt Allard,yes,no,no,Winnipeg Housing Rehabilitation Corporation,March 05 2018,Food and beverage at Board Meeting - unknown,Council appointee,Retained
345,December 30 2018,Matt Allard,yes,no,no,Norwood Buziness Improvement Zone,November 14 2018,Hospitality,I went to the Norwood Buziness Improvement Zone AGM dinner,retained
330,December 21 2018,Scott Gillingham,yes,no,no,Winnipeg Airport Authority,November 29 2018,One ticket - Winnipeg Jets game (approx $200 value),"Following the WAA advisory committee on the environment (Councillor Gillingham is a member), the committee attended the Jets game for a holiday party",Attended the game.
111,June 18 2018,Brian Bowman,yes,no,yes,Sharon Zayac - Air Canada,April 18 2018,"Flights, Disney passes, meals - $1600",Dreams Take Flight participation,Retain
114,June 18 2018,Brian Bowman,yes,no,no,Kary Tardiff,April 20 2018,Winnipeg is Good sweater - $50,"Volunteer week recognition, promotion of sweaters with proceeds to Siloam Mission, sweater to be worn in cheque presentation",Retain
69,May 01 2018,Mike Pagtakhan,yes,no,no,North Central Mosquito Control Annual Conference,April 05 2018,Annual Conference,Guest speaker at the Conference and provided welcoming remarks,retained
187,June 28 2018,Brian Bowman,yes,no,no,Steve Strang and Grand Chief Jerry Daniels - Red River Basin Commission and Southern Chiefs' Organization,June 19 2018,Artwork - $200,Protocol gift - Netley Libau Marsh Restoration Partnership meeting,Retain
171,June 26 2018,Scott Gillingham,yes,no,no,Winnipeg Fringe Festival (Manitoba Theatre Centre),June 26 2018,Two complimentary VIP passes for the 2018 Wpg Fringe Festival - estimated value $120,MTC provides complimentary passes in the hopes that elected officials will participate in the festival.,"Accepted, but undetermined if they will be used during the July festival."
230,August 01 2018,Jeff Browaty,yes,no,no,Centreport Golf Tournament,July 11 2018,Invitational - estimated value $100,Invitational,Retained
81,May 15 2018,Cindy Gilroy,yes,no,no,Casa do Minho Portuguese Centre,May 05 2018,44th Anniversary Dinner,"Attended as a delegate and represented the Daniel McIntyre Ward. Please refer below the invitation from Casa Do Minho:****************************************************************Dear Cindy, GilroyThe Casa do Minho Portuguese Centre will be celebrating 44 years of service to the community. We would like to formally invite you and a guest to celebrate the Casa do Minho 44th Anniversary Dinner at 1080 Wall Street, Saturday May 5th, 2018. Cocktails will be available at 6:30pm and Dinner will be served at 7:30pm.We would consider it a great honour to have you as our guest.Respectfully,Filipe Alves(Hilario.hla@hotmail.com)Please RSVP by April 27th, 2018 to 204-955-4394****************************************************************",Attended dinner
45,April 05 2018,Brian Bowman,yes,no,no,College Jean Sauv�,March 08 2018,Mug - $20,High School Talk,Retained
255,October 31 2018,Brian Bowman,yes,no,yes,ACTRA,October 12 2018,Awards Gala - $100,Event attendance - protocol and speaking,Retain
139,June 18 2018,Brian Bowman,yes,yes,no,Tara Brousseau-Snider - Mood Disorders Association of MB,May 13 2018,Registrations for Shoppers Love You Run - $100,Bring greetings,Retain
251,October 31 2018,Brian Bowman,yes,no,no,Trails MB,September 28 2018,Hat - $20,Event attendance - protocol and speaking,Retain
170,June 26 2018,Scott Gillingham,yes,no,no,Red River Exhibition Association,June 04 2018,Four (4) gate entries & one (1) parking pass for the 2018 Red River Ex. - $53 face value,Councillor Gillingham received complimentary passes from the Red River Exhibition Association.,Councillor Gillingham gave the passes to his executive assistant to use.
8,March 19 2018,Matt Allard,yes,yes,yes,Children's Museum,March 16 2018,"Admission to, and beverages for, Ryan, his fiance, his step child and my children",Donor appreciation night for the Children's Museum,N/A
234,August 30 2018,Cindy Gilroy,yes,no,no,Folklorama,July 16 2018,2 complimentary tickets per Folklorama Pavillion (44 pavilions * $2.65 * 2 = $233.20),Complimentary tickets for Councillor Gilroy plus a guest to attend the cultural experiences at the Folklorama 2018 Pavillions.,Attended 2 Folklorama Pavillions (2*$2.65=$5.30*2 =$10.60)
60,April 30 2018,Devi Sharma,yes,no,no,Canadian Cancer Society,March 20 2018,Bunch of daffodils - $7.00,Asked to help create awareness of the Daffodil campaign to fight cancer,Display in office
84,May 24 2018,Shawn Dobson,yes,no,no,Royal Aviation Museum,April 12 2018,light lunch,renaming ceremony w/light lunch served,consumed
150,June 18 2018,Brian Bowman,yes,no,no,Catherine Hsu - Director General of the Taipei Economic and Cultural Office,May 29 2018,Paper Weight - $50,Protocol,Retain
34,April 05 2018,Brian Bowman,yes,no,no,Irish Association of Manitoba,March 09 2018,Ticket - St. Patrick's Day Gala Dinner - $200,Bring greetings,Retained
44,April 05 2018,Brian Bowman,yes,no,no,World Trade Centre,March 08 2018,Chocolates - $50,Thank You Gift - Intl Women's Day Habitat for Humanity Event,Retained
24,April 04 2018,Matt Allard,yes,no,no,Societ� Franco-Manitobaine Flag Raising,March 06 2018,Coffee - unknown,City representative,Retained
205,July 05 2018,Matt Allard,yes,no,no,CUPE political action committee,April 21 2018,Coffee,Spoke to the Political Action Committee,Retained
161,June 21 2018,John Orlikow,yes,no,no,Garth Steek,February 22 2018,A sandwich,hospitality,Retained
340,December 30 2018,Matt Allard,yes,no,no,Soci�t� Franco-Manitobaine,September 26 2018,Hospitality,I attended a lunch hosted by Soci�t� Francophone du Manitoba greeting the Governor General of Canada at the Fort Gibraltar,retained
26,April 04 2018,Matt Allard,yes,no,no,Maison des Artistes Art Opening,March 02 2018,Plate of appetizers - unknown,Food supplied during event,Retained
98,June 11 2018,Cindy Gilroy,yes,no,no,Ward Resident (Bernie Krahn),June 07 2018,Safety Vest for cycling  $15,Bicycle Safety Vest,Retained
257,October 31 2018,Brian Bowman,yes,no,no,Holy Eucharist Parish Centre,October 14 2018,Ukrainian meals - $50,Thank you gift,Retain
146,June 18 2018,Brian Bowman,yes,no,no,Gustavo Zentner - Consul General of Brazil,May 25 2018,Book - $50,Protocol,Retain
97,June 08 2018,Marty Morantz,yes,no,no,Red River Ex,June 08 2018,4 complimentary tickets + 1 parking pass = $70,Complimentary tickets given to all Council members,retain
6,March 07 2018,Cindy Gilroy,yes,no,no,Ward Constituent,March 01 2018,Decorated hand fan and fridge magnet $1.00,Handicraft stuff he bought from his Europe trip,Retained
252,October 31 2018,Brian Bowman,yes,no,yes,Culture Days MB,September 29 2018,Nuit Blanche Trolley Tour - $100,Event attendance - protocol and speaking,Retain
93,May 30 2018,John Orlikow,yes,no,no,Peter MacOnachie,May 30 2018,"Breakfast, 12.00",Hospitality,retained
106,June 18 2018,Brian Bowman,yes,no,yes,Cam Krisko - SwimAbilityMB,April 07 2018,Gala Dinner - $200,Bring greetings,Retain
158,June 21 2018,John Orlikow,yes,no,no,Cavalia Odysseo,May 15 2018,2 tickets estimated at 250.00 each,Show Opening,retained
149,June 18 2018,Brian Bowman,yes,no,yes,Dayna Spiring - Economic Development Winnipeg,May 29 2018,Winnipeg Tourism Awards of Distinction lunch - $80,Bring greetings and Present awards,Retain
123,June 18 2018,Brian Bowman,yes,no,yes,Larry McIntosh - Peak of the Market,April 28 2018,Starry Starry Night Gala - $200,Dinner,Retain
83,May 16 2018,Jeff Browaty,yes,yes,no,Cavalia,May 15 2018,2 Tickets Cavalia Odysseo,Invitation to VIP Premiere as a representative of the City.,Retained
219,July 05 2018,Matt Allard,yes,no,no,Residents of Pointe Hebert,June 15 2018,Hospitality,The residents of Pointe H�bert hosted a block party and I attended as area Councillor with my son Lo�c,Retained
80,May 11 2018,Brian Mayes,yes,no,no,George's Burgers,April 25 2018,Coffee and Toast,Meeting with business owner,Retain
348,December 30 2018,Matt Allard,yes,no,no,Cavalia,May 15 2018,Tickets,City Councillors were offered VIP tickets to Cavalia and I attended,retained
263,October 31 2018,Brian Bowman,yes,no,yes,Manitoba Islamic Association,October 30 2018,Chocolate strawberries - $50,Congratulatory gift,Retain
95,June 08 2018,Marty Morantz,yes,no,no,Charleswood Legion,June 10 2018,Complimentary dinner ticket $20,Invited to bring greetings on behalf of City of Winnipeg as area councillor,attend
148,June 18 2018,Brian Bowman,yes,no,no,Mr. Dionisio Perez-Jacome - Ambassador of Mexico to Canada,May 28 2018,Book - $50,Protocol,Retain
212,July 05 2018,Matt Allard,yes,no,no,Canadian counselling and psychotherapy Association,May 05 2018,Coffee,I spoke on behalf of the city at this event,Retained
79,May 10 2018,John Orlikow,yes,no,no,White Cap Restaurant,May 07 2018,"Burger, fries drink",Hospitality,retained
211,July 05 2018,Matt Allard,yes,no,no,UDI Growth Forum Event,May 03 2018,Coffee,I attended this growth forum hosted by UDI and coffee was being served,Retained
270,December 05 2018,Scott Gillingham,yes,no,no,Folklorama,July 20 2018,Two (2) Complimentary VIP Passes for the Festival,Annually the Folklorama Festival gives VIP passes to councillors to entice them to visit as many pavilions as possible.,$233.20
125,June 18 2018,Brian Bowman,yes,no,yes,Rob Chester - ISACA Winnipeg,May 01 2018,Western Canada Information Security Conference Lunch - $100,Greetings,Retain
259,October 31 2018,Brian Bowman,yes,yes,yes,Women Businiess Owners of MB,October 18 2018,Women Entrepreneur of the Year Awards - $150,Event attendance - protocol and speaking,Retain
99,June 12 2018,Russ Wyatt,yes,no,no,Reverend John Melnyk,May 25 2018,Unknown,Flowers,keep in office
35,April 05 2018,Brian Bowman,yes,no,no,"Sons of Italy, Garibaldi Lodge",March 09 2018,Ticket - Gala Dinner - $600,Bring greetings,Retained
209,July 05 2018,Matt Allard,yes,no,no,Norwood Business Improvement Zone,April 24 2018,Hospitality,Attended the regular meeting of the Norwood Business improvement zone of which I am a board member,Retained
72,May 02 2018,Jason Schreyer,yes,no,no,Canadian Cancer Society,March 19 2018,Daffodils,Fundraising campaign,retained
341,December 30 2018,Matt Allard,yes,no,no,Francofonds,November 29 2018,Hospitality,I attended an event hosted by Francofonds celebrating their anniversary,retained
100,June 12 2018,Russ Wyatt,yes,no,no,Rebecca Nepinak,May 25 2018,Unknown,Sweet grass tobacco and pouch,Kept in office
235,September 20 2018,Marty Morantz,yes,no,no,Shaarey Zedek Synagogue,September 06 2018,$50 Gift Card to McNally Robinson,Thank you gift for speaking at Lanny Remis Speakers Forum,retain
194,July 05 2018,Brian Mayes,yes,no,no,University of Toronto,June 09 2018,Pen,U of Toronto Alumni Association tour of City Hall,Obtain for person use
