Date,Type,Area,Ward,Candidate,Position,Votes,Won
October 22 2014,General Election,Transcona,,Russ WYATT,Office of Councillor,8490,Yes
October 22 2014,General Election,Mynarski,,Greg LITTLEJOHN,Office of Councillor,2698,No
October 22 2014,General Election,St. Boniface,,Paul NAJDA,Office of Councillor,775,No
October 22 2014,General Election,St. Charles,,Geoff BORDEN,Office of Councillor,244,No
October 22 2014,General Election,North Kildonan,,Jeff BROWATY,Office of Councillor,11840,Yes
October 22 2014,General Election,Point Douglas,,Dale WHITE,Office of Councillor,1165,No
October 22 2014,General Election,St. Charles,,Dwight HILDEBRANDT,Office of Councillor,791,No
October 22 2014,General Election,Daniel McIntyre,,John CARDOSO,Office of Councillor,518,No
October 22 2014,General Election,Point Douglas,,Mike PAGTAKHAN,Office of Councillor,4701,Yes
October 22 2014,General Election,St. Charles,,Eric HOLLAND,Office of Councillor,2129,No
October 22 2014,General Election,Old Kildonan,,Donovan MARTIN,Office of Councillor,2932,No
October 22 2014,General Election,Point Douglas,,Anne THOMPSON,Office of Councillor,429,No
October 22 2014,General Election,St. Boniface,,Brad GROSS,Office of Councillor,961,No
October 22 2014,General Election,St. Vital,,Brian MAYES,Office of Councillor,14128,Yes
October 22 2014,General Election,Daniel McIntyre,,Cindy GILROY,Office of Councillor,4209,Yes
October 22 2014,General Election,Elmwood-East Kildonan,,Jason SCHREYER,Office of Councillor,6830,Yes
October 22 2014,General Election,St. Norbert,,Joe CHAN,Office of Councillor,1098,No
October 22 2014,General Election,Daniel McIntyre,,Keith BELLAMY,Office of Councillor,3618,No
October 22 2014,General Election,North Kildonan,,Evan COMSTOCK,Office of Councillor,1914,No
October 22 2014,General Election,Daniel McIntyre,,Dave DONALDSON,Office of Councillor,664,No
October 22 2014,General Election,Charleswood-Tuxedo,,Marty MORANTZ,Office of Councillor,6281,Yes
October 22 2014,General Election,Mynarski,,Ross EADIE,Office of Councillor,6565,Yes
October 22 2014,General Election,Daniel McIntyre,,Harvey SMITH,Office of Councillor,3284,No
October 22 2014,General Election,Mynarski,,Dave CAPAR,Office of Councillor,381,No
October 22 2014,General Election,Elmwood-East Kildonan,,Jason CUMMING,Office of Councillor,638,No
October 22 2014,General Election,St. Boniface,,Matt ALLARD,Office of Councillor,15355,Yes
October 22 2014,General Election,North Kildonan,,Andrew PODOLECKI,Office of Councillor,1350,No
October 22 2014,General Election,St. Vital,,Glenn CHURCHILL,Office of Councillor,3999,No
October 22 2014,General Election,St. James-Brooklands,,Scott GILLINGHAM,Office of Councillor,5174,Yes
October 22 2014,General Election,St. Charles,,Grant NORDMAN,Office of Councillor,3972,No
October 22 2014,General Election,St. James-Brooklands,,Bryan METCALFE,Office of Councillor,3548,No
October 22 2014,General Election,St. Boniface,,Ryan DAVIES,Office of Councillor,3939,No
October 22 2014,General Election,Fort Rouge-East Fort Garry,,Jenny GERBASI,Office of Councillor,11756,Yes
October 22 2014,General Election,St. Norbert,,Janice LUKES,Office of Councillor,10719,Yes
October 22 2014,General Election,River Heights-Fort Garry,,John ORLIKOW,Office of Councillor,11856,Yes
October 22 2014,General Election,Elmwood-East Kildonan,,Paul QUAYE,Office of Councillor,770,No
October 22 2014,General Election,Daniel McIntyre,,Godwin SMITH,Office of Councillor,257,No
October 22 2014,General Election,St. Vital,,Steven HENNESSEY,Office of Councillor,1940,No
October 22 2014,General Election,St. James-Brooklands,,Fred MORRIS,Office of Councillor,828,No
October 22 2014,General Election,St. James-Brooklands,,Stefan JONASSON,Office of Councillor,2292,No
October 22 2014,General Election,Charleswood-Tuxedo,,Kevin NICHOLS,Office of Councillor,978,No
October 22 2014,General Election,Old Kildonan,,Suzanne HRYNYK,Office of Councillor,5732,No
October 22 2014,General Election,Transcona,,Ray ULASY,Office of Councillor,4277,No
October 22 2014,General Election,Old Kildonan,,Devi SHARMA,Office of Councillor,5944,Yes
October 22 2014,General Election,St. Norbert,,Sachit MEHRA,Office of Councillor,6631,No
