Notice Type,Community,Notice ID,Address,Description,Conditions,Approval Type,Meeting Date,Decision,Search DMIS,In Date,Order Date,Ward,Neighbourhood,Location,Roll Number,Appeal Date,Report/Plan URL,Point,Plain Language,Wards,Neighborhoods,Zip Codes,Electoral Ward 2018
VARIANCE,Riel,15-155615/D,275 Beliveau RD,"To vary the proposed ""R2"" Dimensional Standards of Zoning By-law No. 200/2006 as follows:
1) for the construction of a multi-family dwelling (15 units) to permit:
a) a front yard of 20 feet (6.1 metres) instead of 31 feet (9.45 metres);
b) 15 parking spaces instead of 23 spaces;
c) no visitor spaces instead of 2 spaces;
d) a pedestrian route that will not be developed in accordance with the pedestrian connection design standards;
2) for the establishment of an accessory parking area to permit:
a) no east side yard instead of 4 feet (1.22 metres);
b) no west side yard instead of 4 feet (1.22 metres);
c) stall widths of 9.5 feet (2.9 metres) instead of 10 feet (3.05 metres) for parking spaces adjacent to a fence or wall;
d) parking spaces within 10 feet (3.05 metres) of a window to a habitable room;
e) a continuous fence buffer on the north, east, and west sides instead of a fence buffer having a horizontal length of 48 feet (14.63 metres) followed by a landscaped strip having a length of 16 (4.88 metres).",,Meeting,11/01/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-155615/D,08/09/2015,15/01/2016,St. Vital,Worthington,"(49.83902084704538, -97.10105290555157)",8004109600,02/03/2016 12:00:00 AM,,POINT (-97.10105290555157 49.83902084704538),,11,114,,10
VARIANCE,Riel,15-155777/D,588 Des Meurons ST,"To vary the proposed ""RMF-M"" Dimensional Standards of Zoning By-law No. 200/2006 for the construction of a multi-family dwelling (6 units) to permit:
1) a lot area of 5000 square feet (464.52 square metres) instead of 9000 square feet (836.13 square metres);
2) a front yard of 8.3 feet (2.53 metres) instead of 25 feet (7.62 metres);
3) a north side yard of 4 feet (1.22 metres) to the principal building and 2.5 feet (0.76 metres) to the balconies instead of 12 feet (3.66 metres);
4) a south side yard of 7.5 feet (2.29 metres) instead of 12 feet (3.66 metres);
5) a rear yard of 6 feet (1.83 metres) instead of 25 feet (7.62 metres);
6) 6 parking spaces instead of 7 spaces;
7) no visitor parking spaces instead of 1 space;
8) no accessible parking spaces instead of 1 space.",,Meeting,18/02/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-155777/D,08/09/2015,23/02/2016,St. Boniface,Central St. Boniface,"(49.89151181985183, -97.11198018631697)",6093235500,03/10/2016 12:00:00 AM,,POINT (-97.11198018631697 49.89151181985183),,8,178,,13
APPEAL,City Centre,15-157560/D,60 Osborne ST N,"For a Conditional Use under Zoning By-Law No. 200/2006 to permit the maintenance of a non-accessory parking area previously approved under DCU 142/94C until January 1, 2002.",,Meeting,25/02/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-157560/D,16/09/2015,21/12/2015,Fort Rouge - East Fort Garry,Legislature,"(49.88434232695025, -97.14985154462804)",12097804965,01/07/2016 12:00:00 AM,,POINT (-97.14985154462804 49.88434232695025),,6,56,,15
CONDITIONAL USE,City Centre,15-157942/C,570 & 578 Stradbrook AVE,For a Conditional Use under Zoning By-Law No. 200/2006 to permit the establishment of a multi-family dwelling use.,,Meeting,14/01/2016,,,17/09/2015,10/11/2015,Fort Rouge - East Fort Garry,McMillan,"(49.87621889649025, -97.14838609939312)",12097804955,11/30/2015 12:00:00 AM,,POINT (-97.14838609939312 49.87621889649025),,6,156,,15
APPEAL,City Centre,15-157946/C,570 & 578 Stradbrook AVE,"To vary the ""R2"" dimensional standards of Zoning By-Law No. 200/2006 as follows:
1) for the construction of a multi-family dwelling to permit the following:
  a) a lot area per dwelling unit of 720 square feet (66.9 square metres) instead of 800 square feet (74.3 square metres);
  b) a front yard of 14 feet (4.3 metres) instead of 52 feet (15.8 metres);
  c) a height of 45 feet (13.7 metres) instead of 35 feet (10.7 metres);
2) for the establishment of an accessory parking area to permit the following:
  a) no west side yard instead of 4 feet (1.2 metres) to the drive-aisle;
  b) open parking spaces within 10 feet (3.05 metres) of a window to a habitable room where the sill is located 5 feet (1.5 metres) or less from grade;
  c) parking spaces having a width of 8.5 feet (2.6 metres) instead of 10 feet (3.05 metres) where the length is 18 feet (5.5 metres);
  d) parking stall 20 feet (6.1 metres) in length instead of 23 feet (7.0 metres) in length when accessed directly from an adjacent public lane;
  e) no landscaped buffer along the rear yard within 20 feet  (6.096 metres) abutting Residential District.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,14/01/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-157946/C,17/09/2015,10/11/2015,Fort Rouge - East Fort Garry,McMillan,"(49.87621889649025, -97.14838609939312)",12097804955,11/30/2015 12:00:00 AM,,POINT (-97.14838609939312 49.87621889649025),,6,156,,15
VARIANCE,City Centre,15-157946/C,570 & 578 Stradbrook AVE,"To vary the ""R2"" dimensional standards of Zoning By-Law No. 200/2006 as follows:
1) for the construction of a multi-family dwelling to permit the following:
  a) a lot area per dwelling unit of 720 square feet (66.9 square metres) instead of 800 square feet (74.3 square metres);
  b) a front yard of 14 feet (4.3 metres) instead of 52 feet (15.8 metres);
  c) a height of 45 feet (13.7 metres) instead of 35 feet (10.7 metres);
2) for the establishment of an accessory parking area to permit the following:
  a) no west side yard instead of 4 feet (1.2 metres) to the drive-aisle;
  b) open parking spaces within 10 feet (3.05 metres) of a window to a habitable room where the sill is located 5 feet (1.5 metres) or less from grade;
  c) parking spaces having a width of 8.5 feet (2.6 metres) instead of 10 feet (3.05 metres) where the length is 18 feet (5.5 metres);
  d) parking stall 20 feet (6.1 metres) in length instead of 23 feet (7.0 metres) in length when accessed directly from an adjacent public lane;
  e) no landscaped buffer along the rear yard within 20 feet  (6.096 metres) abutting Residential District.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,14/01/2016,,,17/09/2015,10/11/2015,Fort Rouge - East Fort Garry,McMillan,"(49.87621889649025, -97.14838609939312)",12097804955,11/30/2015 12:00:00 AM,,POINT (-97.14838609939312 49.87621889649025),,6,156,,15
VARIANCE,Lord Selkirk-West Kildonan,15-158274/C,846 Flora AVE,"To vary the Special Boundary Conditions of Zoning By-Law No. 200/2006 for the establishment of two residential lots to permit as follows:
  a) lot widths of 24.75 feet (7.54 metres) instead of 49.5 feet (15.09 metres)
  b) lot areas of 3680 square feet (341.9 square metres) instead of 6968 square feet (647.3 square metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,20/01/2016,,,18/09/2015,28/01/2016,Mynarski,Dufferin,"(49.91891679201848, -97.15896553223162)",,02/16/2016 12:00:00 AM,,POINT (-97.15896553223162 49.91891679201848),,12,139,,8
CONDITIONAL USE,City Centre,15-161800/C,200 Arlington,For a Conditional Use under Zoning By-Law No. 200/2006 to permit the establishment of a multiple family dwelling use.,"1)	That if any development granted by the Order is not established within two (2) years of the date thereof, the Order, in respect of that Conditional Use shall terminate.
2)	That the development shall be built in substantial conformance with the plans submitted and attached hereto and identified as Sheets 1-5 inclusive for File No. DCU 15-161800/C, dated October 3, 2015; and sheet 6 for File No. DCU 15-161800/C dated October 22, 2015.
3)	That final plans, showing the location and details of buildings, landscaping, vehicular approaches, walkways, signage, lighting and garbage, shall be submitted to the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,14/01/2016,,,03/10/2015,20/11/2015,Daniel McIntyre,Wolseley,"(49.883566396289154, -97.17004915188969)",12082245000,12/09/2015 12:00:00 AM,,POINT (-97.17004915188969 49.883566396289154),,3,14,,5
APPEAL,City Centre,15-161800/C,200 Arlington,For a Conditional Use under Zoning By-Law No. 200/2006 to permit the establishment of a multiple family dwelling use.,"1)	That if any development granted by the Order is not established within two (2) years of the date thereof, the Order, in respect of that Conditional Use shall terminate.
2)	That the development shall be built in substantial conformance with the plans submitted and attached hereto and identified as Sheets 1-5 inclusive for File No. DCU 15-161800/C, dated October 3, 2015; and sheet 6 for File No. DCU 15-161800/C dated October 22, 2015.
3)	That final plans, showing the location and details of buildings, landscaping, vehicular approaches, walkways, signage, lighting and garbage, shall be submitted to the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,14/01/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-161800/C,03/10/2015,20/11/2015,Daniel McIntyre,Wolseley,"(49.883566396289154, -97.17004915188969)",12082245000,12/09/2015 12:00:00 AM,,POINT (-97.17004915188969 49.883566396289154),,3,14,,5
VARIANCE,City Centre,15-161801/C,200 Arlington,"To vary the ""R2 PDO Airport Vicinity"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of a multi-family dwelling to permit as follows:
 a) a front yard of 4 feet (1.22 metres) instead of 20 feet (6.10 metres)
 b) a balcony projection of 4 feet (1.22 metres) instead of 1.3 feet (0.40 metres)
 c) a rear yard of 4 feet (1.22 metres) instead of 25 feet (7.62 metres)
 d) a  height of 50.6 feet (15.43 metres) instead of 35 feet 10.66 metres)
 e) 29 parking stalls instead of 72 parking stalls
 e) no visitor parking stalls instead of 7","1)	That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2)	That the development shall be built in substantial conformance with the plans submitted and attached hereto and identified as Sheets 1-5 inclusive for File No. DCU 15-161800/C, dated October 3, 2015; and sheet 6 for File No. DCU 15-161800/C dated October 22, 2015.
3)	That final plans, showing the location and details of buildings, landscaping, vehicular approaches, walkways, signage, lighting and garbage, shall be submitted to the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,14/01/2016,,,03/10/2015,20/11/2015,Daniel McIntyre,Wolseley,"(49.883566396289154, -97.17004915188969)",12082245000,12/09/2015 12:00:00 AM,,POINT (-97.17004915188969 49.883566396289154),,3,14,,5
APPEAL,City Centre,15-161801/C,200 Arlington,"To vary the ""R2 PDO Airport Vicinity"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of a multi-family dwelling to permit as follows:
 a) a front yard of 4 feet (1.22 metres) instead of 20 feet (6.10 metres)
 b) a balcony projection of 4 feet (1.22 metres) instead of 1.3 feet (0.40 metres)
 c) a rear yard of 4 feet (1.22 metres) instead of 25 feet (7.62 metres)
 d) a  height of 50.6 feet (15.43 metres) instead of 35 feet 10.66 metres)
 e) 29 parking stalls instead of 72 parking stalls
 e) no visitor parking stalls instead of 7","1)	That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2)	That the development shall be built in substantial conformance with the plans submitted and attached hereto and identified as Sheets 1-5 inclusive for File No. DCU 15-161800/C, dated October 3, 2015; and sheet 6 for File No. DCU 15-161800/C dated October 22, 2015.
3)	That final plans, showing the location and details of buildings, landscaping, vehicular approaches, walkways, signage, lighting and garbage, shall be submitted to the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,14/01/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-161801/C,03/10/2015,20/11/2015,Daniel McIntyre,Wolseley,"(49.883566396289154, -97.17004915188969)",12082245000,12/09/2015 12:00:00 AM,,POINT (-97.17004915188969 49.883566396289154),,3,14,,5
APPEAL,City Centre,15-164533/C,590 Montrose ST,For a Conditional Use under Zoning By-Law No. 200/2006 to permit the establishment of one (1) detached secondary suite use.,,Meeting,10/03/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-164533/C,16/10/2015,28/01/2016,River Heights - Fort Garry,Central River Heights,"(49.86007384641346, -97.17905640967983)",12042410000,02/16/2016 12:00:00 AM,,POINT (-97.17905640967983 49.86007384641346),,5,66,,14
CONDITIONAL USE,City Centre,15-164533/C,590 Montrose ST,For a Conditional Use under Zoning By-Law No. 200/2006 to permit the establishment of one (1) detached secondary suite use.,,Meeting,10/03/2016,,,16/10/2015,28/01/2016,River Heights - Fort Garry,Central River Heights,"(49.86007384641346, -97.17905640967983)",12042410000,02/16/2016 12:00:00 AM,,POINT (-97.17905640967983 49.86007384641346),,5,66,,14
VARIANCE,City Centre,15-164613/C,933 Somerset AVE,"To vary the Special Boundary Conditions of Zoning By-law No. 200/2006 for the establishment of two (2) residential building lots to permit:
1) lot areas of 3653 square feet (339.41 square metres) instead of 6641 square feet (616.97 square metres);
2) lot widths of 30 feet (9.14 metres) instead of 55 feet (16.76 metres).",,Meeting,11/01/2016,,,16/10/2015,20/11/2015,Fort Rouge - East Fort Garry,Point Road,"(49.84711676429323, -97.1515640993696)",3090488000,12/09/2015 12:00:00 AM,,POINT (-97.1515640993696 49.84711676429323),,6,24,,15
APPEAL,City Centre,15-164613/C,933 Somerset AVE,"To vary the Special Boundary Conditions of Zoning By-law No. 200/2006 for the establishment of two (2) residential building lots to permit:
1) lot areas of 3653 square feet (339.41 square metres) instead of 6641 square feet (616.97 square metres);
2) lot widths of 30 feet (9.14 metres) instead of 55 feet (16.76 metres).",,Meeting,11/01/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-164613/C,16/10/2015,20/11/2015,Fort Rouge - East Fort Garry,Point Road,"(49.84711676429323, -97.1515640993696)",3090488000,12/09/2015 12:00:00 AM,,POINT (-97.1515640993696 49.84711676429323),,6,24,,15
APPEAL,City Centre,15-165379/B,333 Broadway,"To vary the ""Multiple-Use"" Sector regulations of Downtown Zoning By-Law No. 100/2004 for the erection of a free standing sign to permit as follows:
a) a sign height of 16.7 feet (5.09 metres) instead of 4 feet (1.22 metres);
b) a free-standing sign said sign not permitted and;
c) a digital static copy sign said sign not permitted.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.",Meeting,12/01/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-165379,20/10/2015,04/11/2015,Fort Rouge - East Fort Garry,South Portage,"(49.88756723573081, -97.142393944203)",12093421500,,,POINT (-97.142393944203 49.88756723573081),,6,153,,15
VARIANCE,City Centre,15-166104/C,1057 Royse AVE,"To vary the ""R1-M"" dimensional standards of Zoning By-Law No. 200/2006 for the establishment of three residential zoning lots to permit lot areas of 2525 square feet (234.6 square metres) instead of 3500 square feet (325.2 square metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.",Meeting,28/01/2016,,,22/10/2015,07/12/2015,River Heights - Fort Garry,Maybank,"(49.834004178059814, -97.15392535083504)",,12/24/2015 12:00:00 AM,,POINT (-97.15392535083504 49.834004178059814),,5,26,,14
APPEAL,City Centre,15-166104/C,1057 Royse AVE,"To vary the ""R1-M"" dimensional standards of Zoning By-Law No. 200/2006 for the establishment of three residential zoning lots to permit lot areas of 2525 square feet (234.6 square metres) instead of 3500 square feet (325.2 square metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.",Meeting,28/01/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-166104/C,22/10/2015,07/12/2015,River Heights - Fort Garry,Maybank,"(49.834004178059814, -97.15392535083504)",,12/24/2015 12:00:00 AM,,POINT (-97.15392535083504 49.834004178059814),,5,26,,14
APPEAL,Lord Selkirk-West Kildonan,15-167320/B,1244 Pritchard AVE,"To vary the ""R1-M"" Dimensional Standards of Zoning By-Law No. 200/2006 for the maintenance of a single family dwelling to permit as follows: 
1) a front yard of 11.5 feet (3.5 metres) instead of 15 feet (4.8 metres) as previously approved under DAV 13-151488/C
2) a total floor area for the cantilever projections into the east side yard of 22.24 square feet (2.1 square metres) instead of 20 square feet (1.9 square metres).",REJECTED,Meeting,14/01/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-167320,28/10/2015,02/03/2016,Point Douglas,Shaughnessy Park,"(49.925904669723955, -97.17508393620999)",14100125735,,,POINT (-97.17508393620999 49.925904669723955),,12,193,,1
APPEAL,Riel,15-168369/C,206 Havelock AVE,"To vary the ""R1-M"" Dimensional Standards of Zoning By-law No. 200/2006 for the establishment of two (2) residential building lots to permit lot areas of 3000 square feet (278.7 metres) instead of 3500 square feet (325.16 metres).",,Meeting,28/01/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-168369/C,03/11/2015,07/12/2015,St. Vital,St. George,"(49.848336557836575, -97.10104184726383)",,12/24/2015 12:00:00 AM,,POINT (-97.10104184726383 49.848336557836575),,11,95,,10
VARIANCE,Riel,15-168369/C,206 Havelock AVE,"To vary the ""R1-M"" Dimensional Standards of Zoning By-law No. 200/2006 for the establishment of two (2) residential building lots to permit lot areas of 3000 square feet (278.7 metres) instead of 3500 square feet (325.16 metres).",,Meeting,28/01/2016,,,03/11/2015,07/12/2015,St. Vital,St. George,"(49.848336557836575, -97.10104184726383)",,12/24/2015 12:00:00 AM,,POINT (-97.10104184726383 49.848336557836575),,11,95,,10
CONDITIONAL USE,Riel,15-168436/C,249 Thomas Berry ST,For a Conditional Use under Zoning By-Law No. 200/2006 to permit the establishment of a multiple family dwelling use.,,Meeting,10/03/2016,,,03/11/2015,28/01/2016,St. Boniface,Central St. Boniface,"(49.883587108205354, -97.11678080943318)",6070054100,02/16/2016 12:00:00 AM,,POINT (-97.11678080943318 49.883587108205354),,8,178,,13
APPEAL,Riel,15-168444/C,249 Thomas Berry ST,"To vary the ""R2"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of a multi-family dwelling to permit as follows:
a) 4 parking spaces instead of 6 parking spaces
b) no visitor parking spaces instead of 1 visitor parking space",,Meeting,10/03/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-168444/C,03/11/2015,28/01/2016,St. Boniface,Central St. Boniface,"(49.883587108205354, -97.11678080943318)",6070054100,02/16/2016 12:00:00 AM,,POINT (-97.11678080943318 49.883587108205354),,8,178,,13
